"mac";"ssid"
"00:09:4c:e9:56:b2";"meliahotel"
"00:18:6e:ca:4f:46";"DTKTMT"
"00:21:27:e3:0b:1e";"TP-LINK"
"00:22:6b:68:24:c6";"BM QLTC"
"00:22:6b:8a:ca:c6";"C1_220"
"00:23:69:17:66:6c";"Audiophile"
"00:23:69:3a:fb:db";"BMHan&CNKL"
"00:25:9c:48:a8:18";"DTVT"
"00:27:19:ed:26:4a";"T2-211"
"00:6c:bc:87:2b:20";"WIFI-HUST"
"00:6c:bc:87:58:20";"WIFI-HUST"
"00:6c:bc:87:5e:70";"WIFI-HUST"
"00:6c:bc:87:fe:b0";"WIFI-HUST"
"00:b0:0c:07:1d:a9";"TENDA"
"02:1d:aa:eb:f9:60";"CHEMENG-GUEST"
"04:8d:38:df:ed:03";"netis_DFED03"
"10:fe:ed:83:53:5c";"Sep Club"
"10:fe:ed:c5:05:30";"ICCEC606"
"18:a6:f7:4b:d9:76";"Haesung R&D"
"18:a6:f7:55:ee:54";"BKFET"
"30:b5:c2:3c:3e:54";"Tran Vinh Dieu"
"48:f8:b3:8b:d3:ec";"C9_DHBKHN"
"4c:f2:bf:44:7f:c8";"P702"
"64:70:02:c5:5b:5c";"Wifi201"
"64:70:02:d0:f9:f0";"Phong quan tri"
"64:cc:2e:bd:06:55";"AndroidAP"
"6c:fa:89:18:bc:b0";"WIFI-HUST"
"6c:fa:89:18:bd:50";"WIFI-HUST"
"6c:fa:89:18:c0:00";"WIFI-HUST"
"6c:fa:89:18:c0:90";"WIFI-HUST"
"6c:fa:89:18:c1:80";"WIFI-HUST"
"6c:fa:89:18:c1:90";"WIFI-HUST"
"6c:fa:89:18:c2:20";"WIFI-HUST"
"6c:fa:89:18:c2:40";"WIFI-HUST"
"6c:fa:89:18:c2:70";"WIFI-HUST"
"6c:fa:89:18:c3:00";"WIFI-HUST"
"6c:fa:89:18:c3:40";"WIFI-HUST"
"6c:fa:89:18:c3:b0";"WIFI-HUST"
"6c:fa:89:19:05:e0";"WIFI-HUST"
"6c:fa:89:19:06:10";"WIFI-HUST"
"6c:fa:89:19:06:30";"WIFI-HUST"
"6c:fa:89:19:06:90";"WIFI-HUST"
"6c:fa:89:19:08:30";"WIFI-HUST"
"6c:fa:89:19:08:90";"WIFI-HUST"
"74:29:af:8b:fc:aa";"HP-Print-aa-LaserJet Pro M201dw"
"74:ea:3a:e1:da:3a";"ASE415-VNPT"
"84:16:f9:2e:4e:d6";"HoiThao205C9@Sem"
"84:16:f9:d2:82:30";"TP-LINK_8230"
"84:16:f9:d2:93:2a";"Phong 206"
"8e:0e:e3:86:da:ea";"namsuarez"
"90:f6:52:2b:3c:08";"c10 103"
"90:f6:52:db:8c:4f";"D2103"
"98:de:d0:e0:bf:86";"Lien Chi Doan K61"
"9c:d6:43:40:96:dd";"D-Link"
"a0:65:18:10:df:de";"Linh Tran"
"a0:65:18:2e:95:57";"Nhaand2a"
"a2:2c:36:4d:d4:89";"JYD-364DD489"
"b8:27:eb:04:56:97";"Access Point Pi 01"
"b8:27:eb:39:7b:d9";"Access Point Pi 03"
"b8:27:eb:56:33:1e";"Access Point Pi 02"
"bc:16:f5:1a:72:40";"WIFI-HUST"
"bc:76:5e:8e:16:1d";"AndroidAP"
"c0:4a:00:4d:36:ca";"Chi hang xom"
"c0:4a:00:d8:be:32";"WifiHust..."
"c0:56:27:31:08:ed";"C1_418"
"c8:3a:35:05:f5:e0";"203-C9"
"c8:3a:35:18:27:f8";"308B C9"
"c8:3a:35:1d:70:80";"Tenda_1D7080"
"c8:3a:35:39:75:f8";"BK-VTM"
"c8:3a:35:3f:b4:30";"Tenda"
"c8:3a:35:4e:c5:20";"thegioididong"
"c8:3a:35:59:1c:f0";"Tenda_591CF0"
"c8:b3:73:51:aa:dd";"ASELAB"
"d8:5b:2a:04:a7:4d";"Bkmech.hvs"
"d8:5d:4c:b7:e6:34";"VLTH"
"e2:55:7d:45:3c:61";"HUST_Staff"
"e2:55:7d:45:3c:62";"HUST_Student"
"e2:55:7d:45:3c:6f";""
"e8:de:27:64:08:14";"BMQTKD"
"ec:08:6b:d3:c5:96";"KIEMTOAN HSKV"
"ec:08:6b:e7:fd:a7";"Free S-wifi"
"ec:08:6b:f8:a7:5a";"ENR-LAB411"
"f0:79:59:eb:59:fc";"TCCB-C1.205"
"f4:28:53:3f:41:fc";"T10-02"
"f4:28:53:3f:45:10";"T9-04"
"f8:1a:67:3e:87:f2";"AC Deparment"
"f8:1a:67:7c:6e:28";"TP-LINK_7C6E28"
"f8:d1:11:24:2a:40";"KHQL&L"
"f8:d1:11:4a:c2:24";"C1_207"
"f8:e9:03:8f:f3:46";"BMVCDC"
